Layer #,Time
0,25.4616
1,8.67502
2,0.288375
3,0.313058
4,33.8549
5,33.8408
6,25.4616
7,8.67502
8,0.288375
9,0.313058
10,33.8549
11,33.8408
12,25.4616
13,8.67502
14,0.288375
15,0.313058
16,33.8549
17,33.8408
18,25.4616
19,8.67502
20,0.288375
21,0.313058
22,33.8549
23,33.8408
24,25.4616
25,8.67502
26,0.288375
27,0.313058
28,33.8549
29,33.8408
30,25.4616
31,8.67502
32,0.288375
33,0.313058
34,33.8549
35,33.8408
36,25.4616
37,8.67502
38,0.288375
39,0.313058
40,33.8549
41,33.8408
42,25.4616
43,8.67502
44,0.288375
45,0.313058
46,33.8549
47,33.8408
48,25.4616
49,8.67502
50,0.288375
51,0.313058
52,33.8549
53,33.8408
54,25.4616
55,8.67502
56,0.288375
57,0.313058
58,33.8549
59,33.8408
60,25.4616
61,8.67502
62,0.288375
63,0.313058
64,33.8549
65,33.8408
66,25.4616
67,8.67502
68,0.288375
69,0.313058
70,33.8549
71,33.8408
72,25.4616
73,8.67502
74,0.288375
75,0.313058
76,33.8549
77,33.8408
78,25.4616
79,8.67502
80,0.288375
81,0.313058
82,33.8549
83,33.8408
84,25.4616
85,8.67502
86,0.288375
87,0.313058
88,33.8549
89,33.8408
90,25.4616
91,8.67502
92,0.288375
93,0.313058
94,33.8549
95,33.8408
96,25.4616
97,8.67502
98,0.288375
99,0.313058
100,33.8549
101,33.8408
102,25.4616
103,8.67502
104,0.288375
105,0.313058
106,33.8549
107,33.8408
108,25.4616
109,8.67502
110,0.288375
111,0.313058
112,33.8549
113,33.8408
114,25.4616
115,8.67502
116,0.288375
117,0.313058
118,33.8549
119,33.8408
120,25.4616
121,8.67502
122,0.288375
123,0.313058
124,33.8549
125,33.8408
126,25.4616
127,8.67502
128,0.288375
129,0.313058
130,33.8549
131,33.8408
132,25.4616
133,8.67502
134,0.288375
135,0.313058
136,33.8549
137,33.8408
138,25.4616
139,8.67502
140,0.288375
141,0.313058
142,33.8549
143,33.8408
144,412.275
