Layer #,Time
0,25.1664
1,8.38902
2,0.00847566
3,0.0330538
4,33.5551
5,33.5548
6,25.1664
7,8.38902
8,0.00847566
9,0.0330538
10,33.5551
11,33.5548
12,25.1664
13,8.38902
14,0.00847566
15,0.0330538
16,33.5551
17,33.5548
18,25.1664
19,8.38902
20,0.00847566
21,0.0330538
22,33.5551
23,33.5548
24,25.1664
25,8.38902
26,0.00847566
27,0.0330538
28,33.5551
29,33.5548
30,25.1664
31,8.38902
32,0.00847566
33,0.0330538
34,33.5551
35,33.5548
36,25.1664
37,8.38902
38,0.00847566
39,0.0330538
40,33.5551
41,33.5548
42,25.1664
43,8.38902
44,0.00847566
45,0.0330538
46,33.5551
47,33.5548
48,25.1664
49,8.38902
50,0.00847566
51,0.0330538
52,33.5551
53,33.5548
54,25.1664
55,8.38902
56,0.00847566
57,0.0330538
58,33.5551
59,33.5548
60,25.1664
61,8.38902
62,0.00847566
63,0.0330538
64,33.5551
65,33.5548
66,25.1664
67,8.38902
68,0.00847566
69,0.0330538
70,33.5551
71,33.5548
72,25.1664
73,8.38902
74,0.00847566
75,0.0330538
76,33.5551
77,33.5548
78,25.1664
79,8.38902
80,0.00847566
81,0.0330538
82,33.5551
83,33.5548
84,25.1664
85,8.38902
86,0.00847566
87,0.0330538
88,33.5551
89,33.5548
90,25.1664
91,8.38902
92,0.00847566
93,0.0330538
94,33.5551
95,33.5548
96,25.1664
97,8.38902
98,0.00847566
99,0.0330538
100,33.5551
101,33.5548
102,25.1664
103,8.38902
104,0.00847566
105,0.0330538
106,33.5551
107,33.5548
108,25.1664
109,8.38902
110,0.00847566
111,0.0330538
112,33.5551
113,33.5548
114,25.1664
115,8.38902
116,0.00847566
117,0.0330538
118,33.5551
119,33.5548
120,25.1664
121,8.38902
122,0.00847566
123,0.0330538
124,33.5551
125,33.5548
126,25.1664
127,8.38902
128,0.00847566
129,0.0330538
130,33.5551
131,33.5548
132,25.1664
133,8.38902
134,0.00847566
135,0.0330538
136,33.5551
137,33.5548
138,25.1664
139,8.38902
140,0.00847566
141,0.0330538
142,33.5551
143,33.5548
144,411.768
