Layer #,Time
0,1.86862
1,1.33499
2,0.281207
3,0.284386
4,2.39763
5,4.48071
6,1.86868
7,1.33499
8,0.281207
9,0.284386
10,2.39763
11,4.48071
12,1.86868
13,1.33499
14,0.281207
15,0.284386
16,2.39763
17,4.48071
18,1.86868
19,1.33499
20,0.281207
21,0.284386
22,2.39763
23,4.48071
24,1.86868
25,1.33499
26,0.281207
27,0.284386
28,2.39763
29,4.48071
30,1.86868
31,1.33499
32,0.281207
33,0.284386
34,2.39763
35,4.48071
36,1.86868
37,1.33499
38,0.281207
39,0.284386
40,2.39763
41,4.48071
42,1.86868
43,1.33499
44,0.281207
45,0.284386
46,2.39763
47,4.48071
48,1.86868
49,1.33499
50,0.281207
51,0.284386
52,2.39763
53,4.48071
54,1.86868
55,1.33499
56,0.281207
57,0.284386
58,2.39763
59,4.48071
60,1.86868
61,1.33499
62,0.281207
63,0.284386
64,2.39763
65,4.48071
66,1.86868
67,1.33499
68,0.281207
69,0.284386
70,2.39763
71,4.48071
72,1.86868
73,1.33499
74,0.281207
75,0.284386
76,2.39763
77,4.48071
78,1.86868
79,1.33499
80,0.281207
81,0.284386
82,2.39763
83,4.48071
84,1.86868
85,1.33499
86,0.281207
87,0.284386
88,2.39763
89,4.48071
90,1.86868
91,1.33499
92,0.281207
93,0.284386
94,2.39763
95,4.48071
96,1.86868
97,1.33499
98,0.281207
99,0.284386
100,2.39763
101,4.48071
102,1.86868
103,1.33499
104,0.281207
105,0.284386
106,2.39763
107,4.48071
108,1.86868
109,1.33499
110,0.281207
111,0.284386
112,2.39763
113,4.48071
114,1.86868
115,1.33499
116,0.281207
117,0.284386
118,2.39763
119,4.48071
120,1.86868
121,1.33499
122,0.281207
123,0.284386
124,2.39763
125,4.48071
126,1.86868
127,1.33499
128,0.281207
129,0.284386
130,2.39763
131,4.48071
132,1.86868
133,1.33499
134,0.281207
135,0.284386
136,2.39763
137,4.48071
138,1.86868
139,1.33499
140,0.281207
141,0.284386
142,2.39763
143,4.48071
144,103.453
